TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 1
Start Date:,02/26/2021
Start Time:,01:12:06
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.014
,Minimum:,0
,Time of Minimum:,01:12:37
,Date of Minimum:,02/26/2021
,Maximum:,0.04
,Time of Maximum:,01:12:49
,Date of Maximum:,02/26/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/26/2021
02/26/2021,15:12:11,0.006
02/26/2021,15:12:12,0.01
02/26/2021,15:12:13,0.01
02/26/2021,15:12:14,0.004
02/26/2021,15:12:15,0.011
02/26/2021,15:12:16,0.01
02/26/2021,15:12:17,0.012
02/26/2021,15:12:18,0.011
02/26/2021,15:12:19,0.013
02/26/2021,15:12:20,0.014
02/26/2021,15:12:21,0.013
02/26/2021,15:12:22,0.014
02/26/2021,15:12:23,0.016
02/26/2021,15:12:24,0.018
02/26/2021,15:12:25,0.019
02/26/2021,15:12:26,0.024
02/26/2021,15:12:27,0.021
02/26/2021,15:12:28,0.022
02/26/2021,15:12:29,0.024
02/26/2021,15:12:30,0.021
02/26/2021,15:12:31,0.018
02/26/2021,15:12:32,0.023
02/26/2021,15:12:33,0.018
02/26/2021,15:12:34,0.016
02/26/2021,15:12:35,0.021
02/26/2021,15:12:36,0.022
02/26/2021,15:12:37,0.019
02/26/2021,15:12:38,0.013
02/26/2021,15:12:39,0.013
02/26/2021,15:12:40,0.008
02/26/2021,15:12:41,0.007
02/26/2021,15:12:42,0.012
02/26/2021,15:12:43,0.017
02/26/2021,15:12:44,0.007
02/26/2021,15:12:45,0.01
02/26/2021,15:12:46,0.006
02/26/2021,15:12:47,0.008
02/26/2021,15:12:48,0.007
02/26/2021,15:12:49,0.011
02/26/2021,15:12:50,0.006
02/26/2021,15:12:51,0.006
02/26/2021,15:12:52,0.008
02/26/2021,15:12:53,0.01
02/26/2021,15:12:54,0.005
02/26/2021,15:12:55,0.008
02/26/2021,15:12:56,0.007
02/26/2021,15:12:57,0.008
02/26/2021,15:12:58,0.008
02/26/2021,15:12:59,0.005
02/26/2021,15:13:00,0.008
02/26/2021,15:13:01,0.008
02/26/2021,15:13:02,0.007
02/26/2021,15:13:03,0.009
02/26/2021,15:13:04,0.008
02/26/2021,15:13:05,0.013
02/26/2021,15:13:06,0.008
02/26/2021,15:13:07,0.008

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 4
Start Date:,02/26/2021
Start Time:,04:12:07
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.015
,Minimum:,0.006
,Time of Minimum:,04:12:40
,Date of Minimum:,02/26/2021
,Maximum:,0.04
,Time of Maximum:,04:12:51
,Date of Maximum:,02/26/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/26/2021
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/26/2021,16:12:08,0.016
02/26/2021,16:12:09,0.008
02/26/2021,16:12:10,0.009
02/26/2021,16:12:11,0.012
02/26/2021,16:12:12,0.01
02/26/2021,16:12:13,0.008
